support,itemsets,length
0.01,"frozenset({('other vegetables',), ('turkey',)})",2
0.01,"frozenset({('other vegetables',), ('baking powder',)})",2
0.01,"frozenset({('oil',), ('other vegetables',)})",2
0.01,"frozenset({('other vegetables',), ('frozen vegetables',)})",2
0.01,"frozenset({('other vegetables',), ('canned fish',)})",2
0.01,"frozenset({('seasonal products',), ('other vegetables',)})",2
0.01,"frozenset({('pasta',), ('other vegetables',)})",2
0.01,"frozenset({('long life bakery product',), ('condensed milk',)})",2
0.01,"frozenset({('oil',), ('condensed milk',)})",2
0.01,"frozenset({('frozen vegetables',), ('condensed milk',)})",2
0.01,"frozenset({('condensed milk',), ('candles',)})",2
0.01,"frozenset({('condensed milk',), ('salt',)})",2
0.01,"frozenset({('condensed milk',), ('herbs',)})",2
0.01,"frozenset({('white wine',), ('condensed milk',)})",2
0.01,"frozenset({('long life bakery product',), ('butter',)})",2
0.01,"frozenset({('long life bakery product',), ('rolls/buns',)})",2
0.01,"frozenset({('long life bakery product',), ('UHT-milk',)})",2
0.01,"frozenset({('long life bakery product',), ('bottled water',)})",2
0.01,"frozenset({('long life bakery product',), ('curd',)})",2
0.01,"frozenset({('long life bakery product',), ('root vegetables',)})",2
0.01,"frozenset({('whipped/sour cream',), ('long life bakery product',)})",2
0.01,"frozenset({('long life bakery product',), ('hard cheese',)})",2
0.01,"frozenset({('butter',), ('rice',)})",2
0.01,"frozenset({('butter',), ('abrasive cleaner',)})",2
0.01,"frozenset({('butter',), ('rolls/buns',)})",2
0.01,"frozenset({('butter',), ('UHT-milk',)})",2
0.02,"frozenset({('butter',), ('bottled water',)})",2
0.02,"frozenset({('butter',), ('curd',)})",2
0.01,"frozenset({('flour',), ('butter',)})",2
0.01,"frozenset({('butter',), ('dishes',)})",2
0.01,"frozenset({('butter',), ('chicken',)})",2
0.01,"frozenset({('sugar',), ('butter',)})",2
0.01,"frozenset({('butter',), ('fruit/vegetable juice',)})",2
0.01,"frozenset({('butter',), ('newspapers',)})",2
0.01,"frozenset({('butter',), ('detergent',)})",2
0.02,"frozenset({('root vegetables',), ('butter',)})",2
0.01,"frozenset({('butter',), ('hamburger meat',)})",2
0.01,"frozenset({('whipped/sour cream',), ('butter',)})",2
0.01,"frozenset({('hard cheese',), ('butter',)})",2
0.01,"frozenset({('butter',), ('oil',)})",2
0.01,"frozenset({('butter',), ('specialty fat',)})",2
0.01,"frozenset({('butter',), ('specialty chocolate',)})",2
0.01,"frozenset({('butter',), ('candles',)})",2
0.01,"frozenset({('butter',), ('flower (seeds)',)})",2
0.01,"frozenset({('butter',), ('pasta',)})",2
0.01,"frozenset({('abrasive cleaner',), ('rice',)})",2
0.01,"frozenset({('chocolate',), ('rice',)})",2
0.01,"frozenset({('rice',), ('hamburger meat',)})",2
0.01,"frozenset({('rice',), ('pork',)})",2
0.01,"frozenset({('rice',), ('berries',)})",2
0.01,"frozenset({('whipped/sour cream',), ('rice',)})",2
0.01,"frozenset({('onions',), ('rice',)})",2
0.01,"frozenset({('soda',), ('abrasive cleaner',)})",2
0.01,"frozenset({('abrasive cleaner',), ('pork',)})",2
0.01,"frozenset({('abrasive cleaner',), ('berries',)})",2
0.01,"frozenset({('whipped/sour cream',), ('abrasive cleaner',)})",2
0.01,"frozenset({('abrasive cleaner',), ('artif. sweetener',)})",2
0.02,"frozenset({('rolls/buns',), ('UHT-milk',)})",2
0.01,"frozenset({('bottled beer',), ('rolls/buns',)})",2
0.01,"frozenset({('liquor (appetizer)',), ('rolls/buns',)})",2
0.04,"frozenset({('bottled water',), ('rolls/buns',)})",2
0.02,"frozenset({('chocolate',), ('rolls/buns',)})",2
0.01,"frozenset({('curd',), ('rolls/buns',)})",2
0.01,"frozenset({('flour',), ('rolls/buns',)})",2
0.01,"frozenset({('rolls/buns',), ('beef',)})",2
0.02,"frozenset({('frankfurter',), ('rolls/buns',)})",2
0.05,"frozenset({('soda',), ('rolls/buns',)})",2
0.03,"frozenset({('sugar',), ('rolls/buns',)})",2
0.02,"frozenset({('rolls/buns',), ('fruit/vegetable juice',)})",2
0.02,"frozenset({('newspapers',), ('rolls/buns',)})",2
0.01,"frozenset({('rolls/buns',), ('specialty bar',)})",2
0.01,"frozenset({('rolls/buns',), ('butter milk',)})",2
0.02,"frozenset({('rolls/buns',), ('pastry',)})",2
0.01,"frozenset({('detergent',), ('rolls/buns',)})",2
0.04,"frozenset({('root vegetables',), ('rolls/buns',)})",2
0.01,"frozenset({('frozen dessert',), ('rolls/buns',)})",2
0.01,"frozenset({('sweet spreads',), ('rolls/buns',)})",2
0.01,"frozenset({('rolls/buns',), ('salty snack',)})",2
0.02,"frozenset({('waffles',), ('rolls/buns',)})",2
0.01,"frozenset({('candy',), ('rolls/buns',)})",2
0.02,"frozenset({('bathroom cleaner',), ('rolls/buns',)})",2
0.02,"frozenset({('canned beer',), ('rolls/buns',)})",2
0.05,"frozenset({('rolls/buns',), ('sausage',)})",2
0.02,"frozenset({('rolls/buns',), ('brown bread',)})",2
0.02,"frozenset({('rolls/buns',), ('shopping bags',)})",2
0.01,"frozenset({('rolls/buns',), ('hamburger meat',)})",2
0.01,"frozenset({('spices',), ('rolls/buns',)})",2
0.02,"frozenset({('hygiene articles',), ('rolls/buns',)})",2
0.02,"frozenset({('napkins',), ('rolls/buns',)})",2
0.01,"frozenset({('rolls/buns',), ('berries',)})",2
0.02,"frozenset({('whipped/sour cream',), ('rolls/buns',)})",2
0.01,"frozenset({('rolls/buns',), ('domestic eggs',)})",2
0.01,"frozenset({('spread cheese',), ('rolls/buns',)})",2
0.01,"frozenset({('hard cheese',), ('rolls/buns',)})",2
0.02,"frozenset({('cat food',), ('rolls/buns',)})",2
0.01,"frozenset({('ham',), ('rolls/buns',)})",2
0.01,"frozenset({('pickled vegetables',), ('rolls/buns',)})",2
0.02,"frozenset({('oil',), ('rolls/buns',)})",2
0.01,"frozenset({('chewing gum',), ('rolls/buns',)})",2
0.01,"frozenset({('chocolate marshmallow',), ('rolls/buns',)})",2
0.01,"frozenset({('rolls/buns',), ('ice cream',)})",2
0.01,"frozenset({('frozen vegetables',), ('rolls/buns',)})",2
0.01,"frozenset({('red/blush wine',), ('rolls/buns',)})",2
0.01,"frozenset({('rolls/buns',), ('frozen potato products',)})",2
0.01,"frozenset({('rolls/buns',), ('canned vegetables',)})",2
0.01,"frozenset({('onions',), ('rolls/buns',)})",2
0.01,"frozenset({('brandy',), ('rolls/buns',)})",2
0.01,"frozenset({('sliced cheese',), ('rolls/buns',)})",2
0.01,"frozenset({('bottled beer',), ('UHT-milk',)})",2
0.01,"frozenset({('liquor (appetizer)',), ('UHT-milk',)})",2
0.01,"frozenset({('bottled water',), ('UHT-milk',)})",2
0.01,"frozenset({('curd',), ('UHT-milk',)})",2
0.01,"frozenset({('root vegetables',), ('UHT-milk',)})",2
0.01,"frozenset({('whipped/sour cream',), ('UHT-milk',)})",2
0.01,"frozenset({('hard cheese',), ('UHT-milk',)})",2
0.01,"frozenset({('liquor (appetizer)',), ('bottled beer',)})",2
0.02,"frozenset({('bottled water',), ('bottled beer',)})",2
0.01,"frozenset({('flour',), ('bottled beer',)})",2
0.01,"frozenset({('soda',), ('bottled beer',)})",2
0.01,"frozenset({('sugar',), ('bottled beer',)})",2
0.01,"frozenset({('bottled beer',), ('fruit/vegetable juice',)})",2
0.01,"frozenset({('bottled beer',), ('salt',)})",2
0.01,"frozenset({('soda',), ('cereals',)})",2
