lhs,1,2,rhs,support,confidence,lift
onions, ,other vegetables,root vegetables,0.0056939501779359435,0.1836065573770492,3.8750439738267786
onions, ,other vegetables,whole milk,0.0066090493136756485,0.21311475409836067,2.847803813257306
other vegetables,pastry,root vegetables, ,0.005897305541433655,0.26126126126126126,2.396925843754202
other vegetables,pastry,tropical fruit, ,0.005083884087442806,0.2252252252252252,2.1464051260562886
other vegetables,pastry,yogurt, ,0.0066090493136756485,0.2927927927927928,2.0988462952748668
pip fruit, ,other vegetables,root vegetables,0.00813421453990849,0.10752688172043011,2.2693709908163737
pip fruit, ,other vegetables,tropical fruit,0.00945602440264362,0.125,3.4826487252124645
other vegetables,pip fruit,whipped/sour cream, ,0.005592272496187087,0.2140077821011673,2.985484449595717
pip fruit, ,other vegetables,whole milk,0.013523131672597865,0.17876344086021506,2.3887750555165965
pip fruit, ,other vegetables,yogurt,0.00813421453990849,0.10752688172043011,2.47664375110171
other vegetables,rolls/buns,pork, ,0.005592272496187087,0.13126491646778043,2.276879106632488
pork, ,other vegetables,root vegetables,0.007015760040671073,0.1216931216931217,2.568351613415991
pork, ,other vegetables,whole milk,0.010167768174885612,0.1763668430335097,2.3567498658078367
root vegetables, ,other vegetables,rolls/buns,0.012201321809862735,0.11194029850746269,2.6275246678302997
other vegetables,rolls/buns,sausage, ,0.008845958312150484,0.20763723150358,2.210078108049469
other vegetables,rolls/buns,whipped/sour cream, ,0.006710726995424504,0.15751789976133654,2.1974305590819077
other vegetables,sausage,root vegetables, ,0.00681240467717336,0.2528301886792453,2.3195754716981134
other vegetables,shopping bags,root vegetables, ,0.0066090493136756485,0.2850877192982456,2.6155202605394083
other vegetables,soda,root vegetables, ,0.008235892221657347,0.25155279503105593,2.3078560999351074
root vegetables, ,other vegetables,tropical fruit,0.012302999491611592,0.11287313432835822,3.144779819035136
whipped/sour cream, ,other vegetables,root vegetables,0.008540925266903915,0.11914893617021277,2.5146561957812072
other vegetables, ,whole milk,root vegetables,0.023182511438739197,0.11981082501313715,2.4497701954349353
root vegetables, ,other vegetables,yogurt,0.012913065582104729,0.11847014925373135,2.728697700024468
other vegetables,sausage,shopping bags, ,0.005388917132689374,0.19999999999999998,2.029927760577915
other vegetables,soda,sausage, ,0.007219115404168785,0.2204968944099379,2.3469555806512328
other vegetables,sausage,tropical fruit, ,0.005998983223182512,0.22264150943396227,2.12178221442153
other vegetables,sausage,yogurt, ,0.00813421453990849,0.3018867924528302,2.1640354254909506
other vegetables,soda,tropical fruit, ,0.007219115404168785,0.2204968944099379,2.1013439501179643
sugar, ,other vegetables,whole milk,0.00630401626842908,0.1861861861861862,2.4879635069852464
whipped/sour cream, ,other vegetables,tropical fruit,0.007829181494661922,0.10921985815602837,3.042995198199827
tropical fruit, ,other vegetables,whole milk,0.01708185053380783,0.16279069767441862,2.1753349342770476
tropical fruit, ,other vegetables,yogurt,0.012302999491611592,0.11724806201550388,2.700549625111196
whipped/sour cream, ,other vegetables,whole milk,0.014641586171835282,0.20425531914893616,2.7294172062904716
whipped/sour cream, ,other vegetables,yogurt,0.010167768174885612,0.14184397163120566,3.267061969538425
other vegetables, ,whole milk,yogurt,0.02226741230299949,0.11508145034156594,2.0541307878571704
whole milk,pastry,pip fruit, ,0.005083884087442806,0.1529051987767584,2.021266975765348
root vegetables,pastry,whole milk, ,0.0056939501779359435,0.5185185185185185,2.029299494480553
whole milk,sausage,pastry, ,0.0056939501779359435,0.1904761904761905,2.140952380952381
whole milk,soda,pastry, ,0.008235892221657347,0.20558375634517767,2.3107614213197967
yogurt,pastry,whole milk, ,0.009150991357397052,0.5172413793103449,2.024301219863606
root vegetables,pip fruit,tropical fruit, ,0.0052872394509405184,0.33986928104575165,3.238967421593961
pip fruit, ,whole milk,root vegetables,0.008947635993899338,0.11827956989247311,2.4184606442670957
root vegetables,pip fruit,yogurt, ,0.0052872394509405184,0.33986928104575165,2.4363078564759237
sausage,pip fruit,whole milk, ,0.005592272496187087,0.5188679245283019,2.030666946970095
pip fruit, ,tropical fruit,whole milk,0.008439247585155059,0.11155913978494623,2.637461874483044
tropical fruit,pip fruit,yogurt, ,0.006405693950177936,0.31343283582089554,2.2468017057569294
whipped/sour cream,pip fruit,whole milk, ,0.005998983223182512,0.6483516483516485,2.5374207964737217
pip fruit, ,whole milk,yogurt,0.009557702084392475,0.12634408602150535,2.2551616806197914
rolls/buns,pork,whole milk, ,0.0062023385866802234,0.5495495495495495,2.150744058822053
pork, ,whole milk,root vegetables,0.00681240467717336,0.11816578483245149,2.4161340828007494
rolls/buns,root vegetables,tropical fruit, ,0.005897305541433655,0.24267782426778242,2.312729071389186
root vegetables, ,rolls/buns,whole milk,0.012709710218607015,0.1166044776119403,2.0588959377260916
rolls/buns,root vegetables,yogurt, ,0.007219115404168785,0.29707112970711297,2.129514985910682
rolls/buns,shopping bags,sausage, ,0.005998983223182512,0.3072916666666667,3.2707938762626267
sausage, ,rolls/buns,soda,0.009659379766141332,0.10281385281385282,2.6821597942287596
rolls/buns,tropical fruit,yogurt, ,0.008744280630401627,0.35537190082644626,2.547436329903862
rolls/buns,whipped/sour cream,whole milk, ,0.007829181494661922,0.5347222222222222,2.0927151036830702
root vegetables,sausage,whole milk, ,0.007727503812913066,0.5170068027210885,2.023383169423758
root vegetables,sausage,yogurt, ,0.005185561769191663,0.3469387755102041,2.4869845897542686
root vegetables, ,tropical fruit,whole milk,0.011997966446365024,0.11007462686567165,2.6023652769804824
tropical fruit,root vegetables,yogurt, ,0.00813421453990849,0.3864734299516908,2.7703835157251304
whipped/sour cream, ,whole milk,root vegetables,0.00945602440264362,0.13191489361702127,2.6972619100278674
root vegetables,whipped/sour cream,yogurt, ,0.006405693950177936,0.375,2.6881377551020407
root vegetables, ,whole milk,yogurt,0.014539908490086425,0.1333955223880597,2.3810253406289785
shopping bags,sausage,soda, ,0.0056939501779359435,0.36363636363636365,2.085343228200371
soda,yogurt,sausage, ,0.005592272496187087,0.20446096654275092,2.176270136307311
tropical fruit,sausage,whole milk, ,0.007219115404168785,0.5182481751824818,2.0282414655470387
whipped/sour cream,sausage,whole milk, ,0.005083884087442806,0.5617977528089887,2.198679227567212
whole milk,sausage,yogurt, ,0.008744280630401627,0.2925170068027211,2.0968693599888932
tropical fruit,soda,yogurt, ,0.0066090493136756485,0.3170731707317073,2.272896963663514
whipped/sour cream, ,tropical fruit,whole milk,0.007930859176410779,0.11063829787234043,2.6156914893617023
tropical fruit,whipped/sour cream,yogurt, ,0.0062023385866802234,0.44852941176470584,3.215223589435774
tropical fruit, ,whole milk,yogurt,0.015149974580579562,0.1443798449612403,2.5770885212228642
whipped/sour cream, ,whole milk,yogurt,0.010879511947127605,0.15177304964539007,2.709052528606917
other vegetables,citrus fruit,whole milk,root vegetables,0.005795627859684799,0.2007042253521127,4.103796374923136
other vegetables,fruit/vegetable juice,whole milk,yogurt,0.005083884087442806,0.24154589371980675,4.3114407708426485
other vegetables,pip fruit,whole milk,root vegetables,0.005490594814438231,0.21011673151750973,4.29625375150667
other vegetables,pip fruit,whole milk,yogurt,0.005083884087442806,0.19455252918287938,3.4726390644530283
other vegetables,rolls/buns,whole milk,root vegetables,0.0062023385866802234,0.14558472553699284,2.976768764358263
other vegetables,rolls/buns,whole milk,yogurt,0.005998983223182512,0.14081145584725538,2.5133950422100844
other vegetables,root vegetables,tropical fruit,whole milk,0.007015760040671073,0.148068669527897,3.5006138577088146
other vegetables,root vegetables,whole milk,whipped/sour cream,0.005185561769191663,0.10944206008583691,3.3954658073949715
other vegetables,root vegetables,whole milk,yogurt,0.007829181494661922,0.16523605150214593,2.949358559933948
other vegetables,tropical fruit,whole milk,yogurt,0.007625826131164209,0.21246458923512745,3.7923579584890716
other vegetables,whipped/sour cream,whole milk,yogurt,0.005592272496187087,0.1936619718309859,3.4567431814115177
tropical fruit,root vegetables,whole milk,yogurt,0.0056939501779359435,0.2705314009661836,4.828813663343767
