ID,Item,Price,Quantity,Times Bought,Item_revenue
49,canned beer,11.6,47,764,8862.4
50,sausage,18.06,30,924,16687.44
51,brown bread,12.97,47,638,8274.86
52,shopping bags,3.46,35,969,3352.74
53,beverages,14.98,44,256,3834.88
54,hamburger meat,15.52,39,327,5075.04
55,spices,7.68,48,51,391.68
56,hygiene articles,6.83,46,324,2212.92
57,napkins,2.79,49,515,1436.85
58,pork,7.03,26,567,3986.01
59,berries,1.77,33,327,578.79
60,whipped/sour cream,9.44,34,705,6655.2
61,artif. sweetener,14.35,41,32,459.2
62,grapes,14.32,43,220,3150.4
63,dessert,16.22,28,365,5920.299999999999
64,zwieback,3.64,38,68,247.52
65,domestic eggs,14.89,32,624,9291.36
66,spread cheese,17.62,38,110,1938.2
67,misc. beverages,15.52,29,279,4330.08
68,hard cheese,17.71,34,241,4268.110000000001
69,cat food,13.21,47,229,3025.09
70,ham,19.65,41,256,5030.4
71,turkey,16.12,29,80,1289.6000000000001
72,baking powder,16.19,47,174,2817.0600000000004
73,pickled vegetables,8.08,43,176,1422.08
74,oil,0.9,38,276,248.4
75,chewing gum,16.04,49,207,3320.2799999999997
76,chocolate marshmallow,14.69,49,89,1307.4099999999999
77,ice cream,19.95,39,246,4907.7
78,frozen vegetables,2.11,40,473,998.03
79,canned fish,11.52,28,148,1704.96
80,seasonal products,2.28,47,140,319.2
81,curd cheese,2.69,36,50,134.5
82,red/blush wine,19.1,34,189,3609.9
83,frozen potato products,10.48,25,83,869.84
84,specialty fat,12.17,33,36,438.12
85,specialty chocolate,12.81,38,299,3830.19
86,candles,6.0,37,88,528.0
87,flower (seeds),16.19,35,102,1651.38
88,sparkling wine,13.59,42,55,747.45
89,salt,16.13,30,106,1709.78
90,frozen meals,11.33,26,279,3161.07
91,canned vegetables,3.42,41,106,362.52
92,onions,16.18,45,305,4934.9
93,herbs,6.65,48,160,1064.0
94,white wine,5.12,37,187,957.44
95,brandy,9.4,41,41,385.40000000000003
96,photo/film,6.7,26,91,609.7
97,sliced cheese,13.06,36,241,3147.46
98,pasta,17.59,39,148,2603.32
99,softener,19.54,30,54,1055.1599999999999
100,cling film/bags,4.6,49,112,515.1999999999999
101,fish,16.11,38,29,467.19
102,male cosmetics,14.79,27,45,665.55
103,canned fruit,8.77,33,32,280.64
104,Instant food products,16.82,48,79,1328.78
105,soft cheese,8.19,42,168,1375.9199999999998
106,honey,14.13,44,15,211.95000000000002
107,dental care,16.8,36,57,957.6
108,popcorn,14.65,42,71,1040.15
109,cake bar,11.5,49,130,1495.0
110,snack products,13.75,48,30,412.5
111,flower soil/fertilizer,14.57,42,19,276.83
112,specialty cheese,19.42,30,84,1631.2800000000002
113,finished products,1.28,46,64,81.92
114,cocoa drinks,15.88,31,22,349.36
115,dog food,0.69,43,84,57.959999999999994
116,prosecco,11.39,37,20,227.8
117,frozen fish,11.81,49,115,1358.15
118,make up remover,1.53,38,8,12.24
119,cleaner,18.64,44,50,932.0
120,female sanitary products,19.99,48,60,1199.3999999999999
121,dish cleaner,6.69,38,103,689.07
122,cookware,0.22,30,27,5.94
123,meat,1.32,45,254,335.28000000000003
124,tea,11.97,49,38,454.86
125,mustard,16.21,30,118,1912.7800000000002
126,house keeping products,14.05,34,82,1152.1000000000001
127,skin care,16.16,49,35,565.6
128,potato products,6.82,34,28,190.96
129,liquor,11.96,36,109,1303.64
130,pet care,3.1,30,93,288.3
131,soups,13.79,34,67,923.93
132,rum,16.95,41,44,745.8
133,salad dressing,17.36,37,8,138.88
134,sauces,9.09,35,54,490.86
135,vinegar,12.58,28,64,805.12
136,soap,1.75,39,26,45.5
137,hair spray,19.07,31,11,209.77
138,instant coffee,3.48,42,73,254.04
139,roll products,16.22,34,101,1638.2199999999998
140,mayonnaise,18.75,34,90,1687.5
141,rubbing alcohol,5.83,29,10,58.3
142,syrup,5.18,33,32,165.76
143,liver loaf,11.4,29,50,570.0
144,baby cosmetics,12.61,48,6,75.66
145,organic products,10.45,27,16,167.2
146,nut snack,16.5,33,31,511.5
147,kitchen towels,7.58,47,59,447.22
148,frozen chicken,10.37,49,6,62.22
149,light bulbs,14.74,45,41,604.34
150,ketchup,13.01,25,42,546.42
151,jam,19.44,36,53,1030.3200000000002
152,decalcifier,19.89,29,15,298.35
153,nuts/prunes,11.88,37,33,392.04
154,liqueur,13.06,49,9,117.54
155,organic sausage,12.45,26,22,273.9
156,cream,14.33,46,13,186.29
157,toilet cleaner,10.48,25,7,73.36
158,specialty vegetables,15.4,44,17,261.8
159,baby food,14.39,37,1,14.39
160,pudding powder,5.16,39,23,118.68
161,tidbits,18.6,30,23,427.8
162,whisky,0.79,25,8,6.32
163,frozen fruits,14.84,30,12,178.07999999999998
164,bags,11.69,44,4,46.76
165,cooking chocolate,6.32,27,25,158.0
166,sound storage medium,10.33,49,1,10.33
167,kitchen utensil,18.56,48,4,74.24
168,preservation products,19.78,46,2,39.56
